"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 88","12.17","12.17","12.53","11.99","41.28M","-2.41%"
"Nov 88","12.47","12.47","12.71","11.99","21.30M","-1.89%"
"Oct 88","12.71","12.71","12.77","11.99","20.60M","3.42%"
"Sep 88","12.29","12.29","12.89","11.81","39.38M","-3.30%"
"Aug 88","12.71","12.71","12.77","12.23","24.06M","1.44%"
"Jul 88","12.53","12.53","13.37","12.23","34.30M","-1.42%"
"Jun 88","12.71","12.71","13.07","12.47","105.75M","-0.47%"
"May 88","12.77","12.77","13.13","12.05","26.29M","-1.39%"
"Apr 88","12.95","12.95","13.61","12.29","35.24M","2.86%"
"Mar 88","12.59","12.59","13.91","12.29","77.28M","0.00%"
"Feb 88","12.59","12.59","13.07","12.11","20.54M","0.48%"
"Jan 88","12.53","12.53","12.65","11.27","23.25M","7.19%"
"Dec 87","11.69","11.69","12.11","10.67","125.83M","-1.52%"
"Nov 87","11.87","11.87","13.01","11.33","30.46M","-8.34%"
"Oct 87","12.95","12.95","16.79","10.73","46.11M","-21.75%"
"Sep 87","16.55","16.55","18.29","16.31","19.42M","-9.22%"
"Aug 87","18.23","18.23","18.64","16.97","27.87M","1.00%"
"Jul 87","18.05","18.05","19.00","17.51","36.56M","0.00%"
"Jun 87","18.05","18.05","19.00","16.91","31.96M","1.69%"
"May 87","17.75","17.75","18.23","16.19","32.62M","6.86%"
"Apr 87","16.61","16.61","17.27","15.23","33.16M","3.75%"
"Mar 87","16.01","16.01","16.79","14.63","70.52M","4.71%"
"Feb 87","15.29","15.29","16.43","14.57","26.25M","-2.30%"
"Jan 87","15.65","15.65","16.07","13.31","39.66M","18.65%"
"Dec 86","13.19","13.19","13.85","12.95","31.75M","-2.66%"
"Nov 86","13.55","13.55","13.79","12.83","21.35M","-3.01%"
"Oct 86","13.97","13.97","14.57","13.25","22.59M","1.75%"
"Sep 86","13.73","13.73","14.51","12.35","37.99M","-2.14%"
"Aug 86","14.03","14.03","14.45","10.91","34.72M","23.18%"
"Jul 86","11.39","11.39","12.89","10.91","18.53M","-11.22%"
"Jun 86","12.83","12.83","13.79","12.47","17.59M","-6.55%"
"May 86","13.73","13.73","14.21","11.87","27.26M","14.51%"
"Apr 86","11.99","11.99","12.83","11.21","25.64M","2.57%"
"Mar 86","11.69","11.69","12.83","10.85","43.85M","-8.46%"
"Feb 86","12.77","12.77","13.37","11.33","30.49M","-3.62%"
"Jan 86","13.25","13.25","14.99","12.77","39.68M","-10.89%"
"Dec 85","14.87","14.87","17.33","14.57","20.60M","-13.90%"
"Nov 85","17.27","17.27","17.63","15.95","12.19M","1.41%"
"Oct 85","17.03","17.03","17.21","14.93","19.38M","13.61%"
"Sep 85","14.99","14.99","15.41","14.03","10.63M","-1.96%"
"Aug 85","15.29","15.29","16.91","15.11","19.90M","-5.56%"
"Jul 85","16.19","16.19","16.55","14.87","11.78M","-0.74%"
"Jun 85","16.31","16.31","16.67","14.69","16.17M","8.37%"
"May 85","15.05","15.05","15.53","13.73","15.46M","5.02%"
"Apr 85","14.33","14.33","14.75","13.67","9.41M","0.00%"
"Mar 85","14.33","14.33","14.57","13.25","20.01M","1.27%"
"Feb 85","14.15","14.15","14.39","13.31","8.18M","5.36%"
"Jan 85","13.43","13.43","13.49","11.09","22.79M","0.00%"
"Dec 84","13.43","13.43","14.03","13.01","9.74M","-3.45%"
"Nov 84","13.91","13.91","14.93","13.85","9.99M","-3.34%"
"Oct 84","14.39","14.39","15.23","13.43","16.50M","-1.64%"
"Sep 84","14.63","14.63","14.69","13.07","9.40M","5.18%"
"Aug 84","13.91","13.91","16.73","12.23","12.84M","13.18%"
"Jul 84","12.29","12.29","14.21","11.75","9.39M","-10.49%"
"Jun 84","13.73","13.73","16.43","13.55","14.03M","-11.25%"
"May 84","15.47","15.47","17.15","14.69","28.42M","4.03%"
"Apr 84","14.87","14.87","16.85","14.03","31.15M","-5.35%"
"Mar 84","15.71","15.71","15.89","13.07","15.47M","15.43%"
"Feb 84","13.61","13.61","14.09","12.29","9.52M","1.34%"
"Jan 84","13.43","13.43","13.73","11.69","11.83M","12.57%"
"Dec 83","11.93","11.93","12.17","11.33","10.21M","-1.00%"
"Nov 83","12.05","12.05","12.41","11.51","6.64M","2.03%"
"Oct 83","11.81","11.81","12.29","11.03","5.90M","3.14%"
"Sep 83","11.45","11.45","12.29","11.33","6.99M","-4.98%"
"Aug 83","12.05","12.05","12.29","10.85","5.54M","7.49%"
"Jul 83","11.21","11.21","12.95","11.03","4.31M","-4.60%"
"Jun 83","11.75","11.75","12.05","10.61","8.58M","3.16%"
"May 83","11.39","11.39","11.93","9.65","8.92M","13.79%"
"Apr 83","10.01","10.01","10.13","8.39","7.37M","7.06%"
"Mar 83","9.35","9.35","9.59","8.63","11.13M","1.30%"
"Feb 83","9.23","9.23","9.59","8.93","7.44M","-3.15%"
"Jan 83","9.53","9.53","10.49","9.29","9.32M","0.63%"
"Dec 82","9.47","9.47","9.95","8.51","15.39M","8.23%"
"Nov 82","8.75","8.75","10.61","8.27","13.33M","-12.59%"
"Oct 82","10.01","10.01","11.09","8.87","11.03M","11.35%"
"Sep 82","8.99","8.99","9.95","8.93","6.00M","-10.72%"
"Aug 82","10.07","10.07","10.43","8.15","7.97M","21.77%"
"Jul 82","8.27","8.27","8.99","8.21","6.10M","-8.01%"
"Jun 82","8.99","8.99","9.89","8.63","4.90M","-6.84%"
"May 82","9.65","9.65","9.95","9.17","4.99M","3.88%"
"Apr 82","9.29","9.29","9.95","9.17","6.20M","-4.33%"
"Mar 82","9.71","9.71","10.61","8.93","7.53M","-6.90%"
"Feb 82","10.43","10.43","10.79","10.13","3.64M","-3.34%"
"Jan 82","10.79","10.79","11.87","10.37","5.15M","-6.26%"
"Dec 81","11.51","11.51","12.17","10.91","7.55M","-5.89%"
"Nov 81","12.23","12.23","12.41","11.45","4.69M","3.03%"
"Oct 81","11.87","11.87","12.35","11.15","6.09M","4.77%"
"Sep 81","11.33","11.33","13.01","10.37","8.30M","-11.28%"
"Aug 81","12.77","12.77","14.57","12.71","12.77M","-2.74%"
"Jul 81","13.13","13.13","14.33","12.95","6.34M","-8.37%"
"Jun 81","14.33","14.33","14.99","12.95","10.41M","3.02%"
"May 81","13.91","13.91","14.75","13.07","8.27M","-3.34%"
"Apr 81","14.39","14.39","15.17","13.43","5.85M","-4.00%"
"Mar 81","14.99","14.99","15.35","13.49","7.09M","5.05%"
"Feb 81","14.27","14.27","15.17","13.43","5.78M","-2.06%"
"Jan 81","14.57","14.57","16.73","14.51","9.21M","-12.28%"
"Dec 80","16.61","16.61","18.76","15.05","12.19M","-7.36%"
"Nov 80","17.93","17.93","18.17","14.75","14.39M","20.58%"
"Oct 80","14.87","14.87","16.25","13.73","15.11M","8.78%"
"Sep 80","13.67","13.67","14.51","12.65","8.23M","3.64%"
"Aug 80","13.19","13.19","13.79","11.87","10.20M","4.77%"
"Jul 80","12.59","12.59","13.85","12.17","8.75M","-1.87%"
"Jun 80","12.83","12.83","13.67","12.29","11.45M","0.94%"
"May 80","12.71","12.71","12.71","10.31","10.69M","12.18%"
"Apr 80","11.33","11.33","12.77","9.83","8.33M","3.85%"
