"Date","Price","Open","High","Low","Vol.","Change %"
"May 13","88.32","84.87","91.67","83.37","129.59M","3.15%"
"Apr 13","85.62","75.25","86.22","74.73","153.22M","13.90%"
"Mar 13","75.17","78.52","81.24","74.06","99.06M","-4.81%"
"Feb 13","78.97","84.90","85.12","77.80","94.57M","-6.73%"
"Jan 13","84.67","75.14","84.98","74.13","97.12M","15.22%"
"Dec 12","73.49","72.70","75.89","69.73","88.89M","1.86%"
"Nov 12","72.14","76.07","77.11","69.47","114.05M","-4.75%"
"Oct 12","75.74","83.11","83.83","74.90","106.28M","-8.25%"
"Sep 12","82.55","81.73","89.78","78.90","85.38M","1.24%"
"Aug 12","81.54","84.08","87.89","80.79","71.62M","-2.32%"
"Jul 12","83.48","82.43","86.03","79.02","78.44M","1.47%"
"Jun 12","82.27","74.69","84.58","73.47","132.96M","8.20%"
"May 12","76.04","87.75","89.96","74.91","110.32M","-13.10%"
"Apr 12","87.50","91.15","94.23","82.94","83.56M","-4.21%"
"Mar 12","91.35","100.53","101.12","88.10","83.56M","-8.75%"
"Feb 12","100.11","96.30","102.33","93.40","70.60M","4.61%"
"Jan 12","95.70","92.79","99.60","90.92","86.11M","6.48%"
"Dec 11","89.88","94.20","95.90","83.39","83.64M","-5.26%"
"Nov 11","94.87","85.21","97.50","83.15","100.88M","6.42%"
"Oct 11","89.15","68.48","94.37","63.65","122.23M","29.99%"
"Sep 11","68.58","83.56","85.08","67.05","127.39M","-17.57%"
"Aug 11","83.20","95.66","95.86","75.56","165.46M","-11.66%"
"Jul 11","94.18","99.80","104.63","94.04","78.54M","-5.63%"
"Jun 11","99.80","103.44","103.71","92.80","96.69M","-3.53%"
"May 11","103.45","110.42","113.08","94.24","117.91M","-5.64%"
"Apr 11","109.63","101.56","109.88","91.77","91.10M","9.38%"
"Mar 11","100.23","99.87","101.50","90.87","91.62M","2.47%"
"Feb 11","97.81","93.80","103.17","92.20","89.18M","5.47%"
"Jan 11","92.74","94.76","95.11","89.45","95.55M","-1.45%"
"Dec 10","94.10","85.63","95.51","85.27","78.40M","11.27%"
"Nov 10","84.57","76.51","85.84","76.30","91.35M","12.13%"
"Oct 10","75.42","75.88","82.42","74.61","106.30M","0.41%"
"Sep 10","75.11","71.39","76.03","70.85","94.05M","7.15%"
"Aug 10","70.10","76.35","77.59","69.19","109.73M","-6.22%"
"Jul 10","74.75","74.21","79.79","72.36","90.63M","1.01%"
"Jun 10","74.00","78.18","85.22","73.93","129.90M","-6.51%"
"May 10","79.15","85.53","87.28","71.17","149.14M","-6.93%"
"Apr 10","85.04","81.77","86.74","80.00","111.65M","4.87%"
"Mar 10","81.09","76.99","81.58","76.87","121.97M","5.88%"
"Feb 10","76.59","75.86","78.77","71.24","110.07M","1.92%"
"Jan 10","75.15","79.29","81.37","71.35","121.77M","-3.69%"
"Dec 09","78.03","78.68","79.85","72.60","93.39M","0.68%"
"Nov 09","77.50","73.34","81.73","71.84","95.15M","6.47%"
"Oct 09","72.79","74.92","81.29","70.73","112.30M","-3.20%"
"Sep 09","75.20","70.14","76.33","68.53","113.85M","7.24%"
"Aug 09","70.12","69.51","73.04","64.44","101.63M","2.47%"
"Jul 09","68.43","64.26","70.47","56.28","151.70M","8.40%"
"Jun 09","63.13","65.94","68.67","58.39","170.46M","-1.93%"
"May 09","64.37","54.25","64.89","54.05","130.31M","19.23%"
"Apr 09","53.99","52.39","59.47","49.42","153.70M","1.14%"
"Mar 09","53.38","48.25","58.49","46.27","211.43M","7.30%"
"Feb 09","49.75","51.21","56.95","45.56","169.54M","-4.93%"
"Jan 09","52.33","58.14","61.39","48.48","176.26M","-9.05%"
"Dec 08","57.54","49.06","58.48","39.59","186.59M","10.80%"
"Nov 08","51.93","52.48","56.25","38.54","177.33M","-2.53%"
"Oct 08","53.28","67.25","67.25","38.30","290.76M","-21.16%"
"Sep 08","67.58","72.83","80.73","61.35","205.72M","-11.22%"
"Aug 08","76.12","75.65","81.96","69.74","156.60M","0.66%"
"Jul 08","75.62","86.33","88.72","67.36","245.30M","-12.27%"
"Jun 08","86.20","87.77","92.73","79.07","197.16M","-2.25%"
"May 08","88.18","78.95","95.96","75.10","161.11M","10.47%"
"Apr 08","79.82","70.12","83.95","69.28","136.69M","13.72%"
"Mar 08","70.19","74.34","75.73","63.68","138.15M","-5.42%"
"Feb 08","74.21","65.10","77.13","60.87","139.57M","14.10%"
"Jan 08","65.04","74.86","77.53","58.22","191.82M","-11.93%"
"Dec 07","73.85","66.37","76.02","65.59","95.86M","10.36%"
"Nov 07","66.92","65.13","71.30","62.65","166.47M","1.04%"
"Oct 07","66.23","61.51","68.57","60.71","147.26M","7.74%"
"Sep 07","61.47","54.39","63.17","54.29","109.75M","13.04%"
"Aug 07","54.38","54.68","55.85","48.59","144.50M","-0.06%"
"Jul 07","54.41","56.10","61.66","53.60","127.90M","-2.00%"
"Jun 07","55.52","53.39","57.29","52.25","126.08M","5.29%"
"May 07","52.73","48.64","53.39","48.20","111.13M","8.43%"
"Apr 07","48.63","47.22","50.66","47.07","103.34M","2.81%"
"Mar 07","47.30","44.12","48.40","43.02","139.43M","6.92%"
"Feb 07","44.24","44.58","46.76","43.74","123.59M","-0.52%"
"Jan 07","44.47","46.84","46.87","40.34","164.91M","-5.06%"
"Dec 06","46.84","47.96","50.26","46.08","86.01M","-3.00%"
"Nov 06","48.29","44.62","48.63","43.84","101.28M","7.24%"
"Oct 06","45.03","46.04","47.87","41.97","134.45M","-2.43%"
"Sep 06","46.15","49.39","49.78","42.22","133.33M","-5.64%"
"Aug 06","48.91","51.63","53.18","48.65","95.25M","-5.36%"
"Jul 06","51.68","49.18","52.25","47.13","125.59M","5.08%"
"Jun 06","49.18","47.36","49.70","43.76","186.45M","3.49%"
"May 06","47.52","49.40","52.05","42.95","182.92M","-3.57%"
"Apr 06","49.28","45.08","51.85","44.75","139.31M","10.89%"
"Mar 06","44.44","44.04","46.10","42.22","140.08M","1.23%"
"Feb 06","43.90","46.86","46.86","40.94","140.82M","-6.32%"
"Jan 06","46.86","39.57","47.00","39.28","153.02M","22.32%"
"Dec 05","38.31","38.37","40.84","37.87","122.37M","0.74%"
"Nov 05","38.03","37.83","38.94","34.34","158.23M","0.53%"
"Oct 05","37.83","41.35","41.65","33.00","209.81M","-7.66%"
"Sep 05","40.97","40.16","43.07","39.82","105.58M","2.89%"
"Aug 05","39.82","39.77","40.41","37.20","100.05M","0.91%"
"Jul 05","39.46","37.17","40.24","37.16","86.79M","6.94%"
"Jun 05","36.90","35.40","38.84","34.92","101.37M","5.25%"
"May 05","35.06","33.10","35.42","30.72","103.51M","5.95%"
"Apr 05","33.09","34.89","35.95","30.87","138.30M","-3.05%"
"Mar 05","34.13","33.71","35.92","32.13","122.24M","1.28%"
"Feb 05","33.70","28.14","34.59","28.01","101.53M","20.36%"
